timestamp,DOY,E11,E12,E13,E13_W,E14,E15,E16,E17,E18,E21,E22,E22_W,E23,E23_W,E24,E25,E26,E26_W,E27,E28,E31,E32,E33,E34,E35,E36,E36_W,E37,E37_W,E38,E41,E42,E43,E43_W,E44,E45,E46,E47,E47_W,E48
6/23/2022 11:05,174,49.05032516,49.32777186,48.00286633,36.21403515,38.6728441,36.09199128,40.40268965,41.79515605,22.36356367,40.3494426,47.61001112,40.79913856,34.05633038,48.95473077,32.52691693,32.2715654,29.1523314,36.97800268,46.38407742,24.40993184,35.24728996,41.09564054,48.591614,31.64225121,,,,31.52702225,40.71571309,34.6437648,24.35903601,36.25125704,36.52991647,36.09771627,36.68393569,,,34.28736346,36.76370556,38.348155
6/23/2022 11:10,174,49.7939465,50.25045935,48.68422123,32.46624209,38.58077093,36.64537012,40.83887826,42.49113072,22.13401089,41.27608381,48.16097197,40.92465416,34.49346833,50.26278185,33.27774407,31.86513829,29.9598968,37.28959521,46.47077417,24.90599189,35.41624445,41.96123462,49.04600677,31.97921078,,,,31.67699914,41.23978116,35.18470865,24.58459596,37.04128629,36.84652086,36.42661038,37.03387498,,,35.09860182,37.36613275,37.8670411
6/23/2022 11:15,174,50.0035772,49.51418973,55.95976536,33.15033873,33.49839515,35.9026359,40.12675295,41.99793482,21.16674237,41.59799066,48.11935061,41.02095053,33.73936904,45.86547928,37.19211978,31.6660003,29.37973015,36.78604168,46.92497614,25.13980092,35.18057886,40.95567084,45.29767016,36.6709734,,,,31.76786612,40.79043627,34.98563014,23.52946511,36.1143632,36.47674131,39.20261032,35.02032026,,,34.93569437,36.04661565,36.39364727
6/23/2022 11:20,174,50.16891767,49.97065611,52.70272167,32.59261478,33.76841124,35.60547729,40.00338893,41.63002171,21.28772999,41.53536527,48.32503439,41.62284887,38.33921551,36.66573451,40.59101927,31.45400285,29.30339458,36.85756662,47.43603721,25.60759127,35.32006097,41.1950905,43.58411113,29.53136421,,,,31.73537404,40.98846047,35.06421843,23.39396097,36.6913711,29.61223906,38.60175042,34.67696464,,,35.21502705,37.10734891,36.11617994
6/23/2022 11:25,174,45.48540552,50.00120306,53.88086139,32.7605018,34.24014736,36.38198951,41.1051772,41.72256935,21.9759011,42.12349077,49.39384762,42.4528534,44.84517254,47.70016941,44.01754798,31.39008689,30.27549594,38.25321453,47.199397,25.99819544,35.36647873,41.598656,37.84972568,26.89061687,,,,31.76237809,41.86730762,35.43715647,24.39013463,37.3744124,29.33061783,41.60517665,19.15835644,,,35.92089835,37.5219493,36.20210548
6/23/2022 11:30,174,33.81466786,42.75368258,55.0285576,33.13794134,34.16676752,35.99088181,41.52112937,41.66267925,22.10118934,41.86353241,49.51574806,42.7788974,45.59422618,46.93599617,44.05994734,31.18914146,30.48624525,37.90568951,47.82909131,25.98831151,38.13730214,48.21709209,33.94912209,26.95029325,,,,31.93829904,42.22409056,35.45276332,36.40067217,37.22486996,29.1423604,42.1309756,-2.450300268,,,35.7920748,38.20719307,35.98842915
6/23/2022 11:35,174,32.48203025,45.25436822,55.12755251,34.41608937,34.64206446,37.1298716,44.37034002,42.81341979,23.32444817,41.30011605,48.26304974,42.10241566,45.46347236,46.64804967,44.14956402,31.64124744,31.16424468,38.62720061,47.59412439,27.19845552,38.38562058,60.17362121,33.86753751,27.2946012,,,,32.45996156,43.45075746,35.77049028,37.39843812,36.20390039,29.17665298,42.63625162,-5.077039875,,,36.71040564,39.09152398,36.29763892
6/23/2022 11:40,174,35.61383876,46.53697818,55.27956204,35.14216011,34.81560925,37.54037114,46.10455173,44.34265921,23.66394948,42.77041125,34.32222672,43.07579652,45.65046889,48.1687331,44.24082318,32.1897167,31.48929042,39.17659063,47.91667769,27.58353442,32.22241702,40.69257269,33.98010026,28.00907191,,,,32.81285438,44.03759022,36.31187115,44.74567722,38.75272126,29.31684854,43.08023084,-6.227499315,,,37.65846661,38.46260434,35.57661752
6/23/2022 11:45,174,38.02219565,47.70436543,56.48631174,35.82754249,35.15725321,37.77238049,46.74711017,45.86487798,24.42060887,43.81755692,35.4196204,43.84766839,46.43429431,49.10736999,46.16091989,32.64266524,31.4269971,39.59775947,48.56996962,27.4240547,32.50719748,38.89770966,34.78774075,28.44280414,,,,33.43249339,44.96634917,36.19167542,47.51589633,40.62453837,29.90099532,43.15581772,-5.500192889,,,38.71997403,39.34386626,35.51591301
6/23/2022 11:50,174,38.92787371,47.46653571,58.18216189,35.62895692,34.94098246,37.080445,47.07747203,46.08885397,25.36147915,43.3261568,34.98571815,43.30486608,46.02836059,48.06539098,46.49785285,33.3106922,31.52587987,39.99311934,48.60926193,27.68797887,32.3806629,39.06650995,35.23688417,28.41465161,,,,34.02280371,45.26568529,36.37064365,48.5311628,41.82535746,30.39344766,42.84987856,-4.971697112,,,39.24790097,38.60431369,36.20433453
6/23/2022 11:55,174,37.10400713,42.88293274,58.53077966,33.24238537,33.1906226,35.97477485,44.69473255,44.35281452,23.84133802,39.60271407,33.18129955,40.97251191,41.58573667,43.90491002,42.14060245,33.53868382,29.90764746,37.94174428,49.88245982,25.87051771,31.00392921,36.44184615,33.3437104,26.96021991,,,,33.10598855,42.1816651,34.90349864,45.79170445,38.89711542,29.42588012,40.91817614,-6.537275314,,,37.56077324,35.46541236,35.19181096
6/23/2022 12:00,174,38.28697037,45.20897413,57.38451786,34.11473704,34.04562975,36.7939099,45.84253628,44.61350349,24.9560098,41.92187332,33.49914342,42.07479032,42.51588417,46.18453569,43.0622245,34.00729087,30.47751276,38.10957131,48.41373588,26.97330397,31.52055318,37.59257747,34.22069592,27.95382224,,,,33.5426951,42.26021785,34.79471149,47.49838358,39.97035018,29.09918915,41.67524919,-6.230384099,,,37.20560837,37.28361651,35.55999588
6/23/2022 12:05,174,39.48280355,46.57747219,57.31533805,34.6358356,34.68128633,37.78138714,47.59367665,46.14145974,25.79241177,42.67232893,33.1160413,42.68683918,42.72670293,46.96445665,43.53079786,35.05041012,31.91460013,39.44653649,47.57361882,28.38872379,31.89489453,38.37807384,34.78361371,28.68695482,,,,34.42378379,44.33123834,35.07973845,48.79484645,40.74673125,29.18263651,42.90262906,-5.244750448,,,37.25160084,38.58868911,36.28082942
6/23/2022 12:10,174,38.54009341,45.26062443,57.93465278,33.90115487,34.04331403,36.87822873,46.35408824,44.54980467,24.57951825,41.71406142,31.84908057,41.81340189,41.31842644,45.81271732,42.1627483,34.92115062,30.19262374,38.05467853,48.38614754,27.58161263,31.3198772,37.6144459,33.88742748,27.22723521,,,,34.18264791,41.75916601,33.65923144,48.01352615,39.11659697,28.26446034,40.26755863,-2.580918073,,,35.91091209,36.14993729,35.35307969
6/23/2022 12:15,174,37.34491014,44.33430647,57.31435233,33.32650049,33.93643796,36.59686865,45.95783602,43.12258138,24.86315742,40.83870622,31.41169916,41.65139975,40.96346368,44.68906569,41.82430287,34.65929593,29.07489817,37.42034689,47.46371276,26.59513354,31.62207828,38.00271824,34.11756858,27.32998647,,,,33.86020075,40.2213733,32.68659731,47.5603582,39.13575668,28.39632779,40.01632896,-0.90372923,,,35.09331671,36.04223682,34.88665986
6/23/2022 12:20,174,39.1403391,46.6984595,55.95028702,33.95055261,35.02095909,37.51481713,47.81752436,43.88481494,25.23046821,42.2591963,32.06366102,43.31724689,42.81445246,47.00270315,43.22664892,35.58587944,30.87816712,38.89806249,46.13953628,27.57865068,32.27443807,39.25353211,35.2979434,28.41950914,,,,34.46390511,42.94509372,33.32842149,50.1508469,41.14899187,28.97226531,42.34864848,-1.251460339,,,36.67584567,38.73645557,35.46943401
6/23/2022 12:25,174,42.42476905,49.02881554,56.40050183,34.12628541,35.95968633,38.65500775,50.51736304,46.31010545,26.0873137,44.604432,33.52048336,45.6954034,45.14099454,48.63437083,45.92283861,36.83088905,32.66064737,40.83759733,45.79256884,29.24739779,32.98150238,41.22606719,37.17129237,29.63853699,,,,35.57440307,46.08145253,34.64172658,53.09509696,42.99494557,29.48062262,44.74717425,-4.023531102,,,38.24396748,40.97566727,37.64351919
6/23/2022 12:30,174,43.37670727,47.48208605,57.14205085,34.50148539,36.08263369,39.00807463,50.77575612,45.7193591,26.09465001,45.0249225,33.26250639,45.98193437,44.56717333,47.30735944,45.02892486,37.25739042,32.38604335,41.00216201,46.61560192,29.09980697,32.96281811,41.5725198,37.41409732,29.30863539,,,,35.84618406,45.51038,33.96170875,53.08817904,42.9238513,29.22501754,44.41835351,-5.920356167,,,38.54341882,41.14897988,38.40078185
6/23/2022 12:35,174,43.88229429,47.8211257,57.76753279,33.91723837,35.94421493,39.05669298,50.50508598,46.15680556,26.38737189,46.36428683,34.01323148,46.24127384,44.51970805,48.42156501,45.5245326,37.89015589,32.48356343,40.94543747,46.54498989,28.90440993,33.0396891,42.17847062,37.50600285,29.36299044,,,,36.50421226,45.63335397,34.97678912,53.51232259,43.34821054,29.65240317,44.59957043,-6.413409984,,,39.06233103,41.65039888,39.54274059
6/23/2022 12:40,174,40.53505782,44.37293669,59.68055127,32.05900656,34.05749483,36.5413125,45.73171449,43.2145197,24.3532528,44.72678654,32.99281607,43.11952609,41.89594249,44.83156893,43.64243687,36.41589995,29.97339618,38.86423072,47.63447625,27.03800231,31.90881808,40.18057267,35.91234998,27.77773133,,,,35.51687246,41.95411715,34.16519769,48.22201843,40.58734563,29.59363686,41.20641305,-5.902045828,,,37.88470713,37.71964456,37.27959182
6/23/2022 12:45,174,39.90774051,45.53582781,57.59384699,32.637118,35.00239853,37.32356418,47.41546626,44.28082671,25.20624445,45.54116777,34.47355581,44.74502524,43.38916967,47.1454637,44.5417688,37.29114533,30.90077529,40.55572679,46.66863137,27.27301615,32.13855565,40.84328316,36.92261117,29.20596062,,,,35.91345861,44.21601273,35.37814798,50.286935,42.814169,30.0895756,43.01580379,-3.581909848,,,39.17803684,38.59841765,37.70025803
6/23/2022 12:50,174,38.39453805,45.94628333,58.12183349,32.36041717,34.88675131,37.25410078,46.90185926,45.25549618,24.65818665,44.45813933,34.19848577,44.66719914,43.42249008,47.03372704,44.69549036,37.20265182,30.64807823,40.40645445,47.1297954,27.88803727,32.27627898,40.81528199,37.04355151,29.13959761,,,,36.11676439,44.30958477,35.50871108,51.15702843,41.99984183,30.14736759,43.2795307,-3.034995295,,,39.2516064,38.19718012,37.80514674
6/23/2022 12:55,174,38.1985393,45.01735589,57.7265189,32.48586934,34.29458261,37.20571726,46.62786825,44.34005661,24.26633855,44.14965036,33.60779064,43.95807157,42.1523195,46.09166155,43.99594154,37.11707538,30.31944886,39.57976148,47.53750548,27.19989135,31.9625253,40.34232493,36.66402501,28.95132609,,,,35.96943461,42.66097469,35.12843873,49.73862875,40.99027751,29.50683415,41.91286506,-3.901420199,,,38.68088278,37.21563248,37.08483191
6/23/2022 13:00,174,41.09958823,47.56930669,58.34071319,33.7494496,36.00581418,38.66995519,48.76341205,45.56511898,24.65519975,48.05207345,35.81872116,46.41403739,45.09398691,48.82423064,46.79519708,38.09714257,31.01174688,41.39603247,47.16060066,27.10768283,32.61192714,42.0330674,38.38412554,30.28523883,,,,36.45034506,44.49498749,36.04036886,51.37132491,43.81581516,30.52359719,44.12838194,-4.19116771,,,39.78770209,39.21647748,38.68329732
